isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,project_prf_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_type_of_server.1,tech_tf_client/server_description,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
13026,b,2013,banking,government,business application,surveillance and security,enhancement,pc,4gl,c#,15.0,xs,383,230,11.9,12.4,,8.3,12.3,2.4,1,4.0,,agile development,,1,stand alone,,,,,,,,yes,0,,,,,,,,,8.0,,,,,31382.0,,
14325,b,2013,banking,government,business application,surveillance and security,enhancement,pc,3gl,proprietary agile platform,4.0,xs,77,79,5.4,6.0,,1.7,,4.9,1,9.0,,agile development,,1,,,,,,,,web,yes,0,,,,,,,,,,,,,,,"european, euro",
32296,a,2009,government,government,,surveillance and security,new development,pc,4gl,java,971.0,m2,14051,7311,5.2,6.2,,275.2,155.9,7.7,9-14,8.0,yes,agile development;personal software process psp;unified process,,19,stand alone,yes,,security/authentication,,,,web,yes,0,,2.0,,3.0,,,,0.0,6.0,1.0,,1.0,0.0,182308.0,"canada, dollar",
11738,b,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,,surveillance and security,enhancement,pc,3gl,c#,4.0,xs,4119,3210,60.9,62.9,,1.4,,2.7,,10.0,,agile development,,1,stand alone,,,,,,,,,0,,,5.0,5.0,,,,5.0,,,,,,,,
11801,b,2009,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,new development,,3gl,c#,12.0,s,1336,910,25.7,26.7,29.2,1.1,0.3,16.9,,,,agile development,,14,,,web/html browser,security/authentication,,,,,yes,3,,,4.0,,,,,1.0,,24.0,,1.0,2.0,,,
14928,b,2012,service industry,government,business application,workflow support & management;complex process control,enhancement,pc,3gl,proprietary agile platform,15.0,xxs,194,209,6.7,7.5,,1.2,,7.7,5-8,,,agile development,,1,stand alone,,,,,,,,yes,0,,,,,,,,,5.0,,,,,,,
31166,a,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,infrastructure software,business application,enhancement,multi,4gl,oracle,293.0,s,6884,3812,12.1,13.6,,48.9,103.4,2.0,5-8,3.0,yes,agile development,,6,stand alone,,,,,,,,,0,,,,,,,,2.0,,1.0,,,,,,no
27333,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,4gl,c#,3.0,xs,65,80,27.3,27.6,0.0,0.3,0.4,4.1,1,4.0,,agile development,,1,stand alone,,,,,,,,yes,0,,,,,,,,,11.0,,,,,48383.0,,
11738,d,2012,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,new development,pc,3gl,.net,79.0,m1,6564,4471,30.6,33.3,,137.9,,0.9,2,9.0,no,agile development;iterative,,3,stand alone,no,web/html browser,,,,,web,yes,1,,,,,,,,17.0,,,,0.0,0.0,,"united states, dollar",
28393,b,2010,wholesale & retail,energy,business application,customer relationship management,enhancement,mr,4gl,pl/i,126.0,m2,711,723,2.8,3.8,,96.1,9.0,4.3,2,29.0,,agile development,,3,multi-tier with web public interface,,,html/web server;multi-user legacy application,,,,,,0,,,,,,,,,,,,,,76944.0,"european, euro",no
19363,b,2011,service industry,high tech,,security/authentication,enhancement,,4gl,proprietary agile platform,,m2,3713,1985,0.5,0.5,,194.3,343.0,9.8,,9.0,,agile development,,1,multi-tier with web public interface,,,,,,,,yes,0,,,,,,,,,,,12.0,,,,,
24701,d,2006,medical & health care,all industry organization types,real-time application,business application,new development,pc,3gl,oracle,1189.0,,27235,15522,2.4,3.1,,595.3,,5.0,3-4,11.0,yes,agile development;iterative,,18,stand alone,no,,database server,,,,web,yes,1,,1.0,2.0,1.0,,,,17.0,5.0,2.0,,0.0,12.0,,"european, euro",
31166,c,2014,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,proprietary,3gl,c#,62.0,s,2251,1822,35.5,39.9,12.0,27.9,,2.9,1,9.0,,agile development,yes,19,stand alone,no,,,,,,,yes,0,,,,2.0,,,,,,2.0,,,,,,
10317,b,2011,banking,"education institution;electricity, gas, water;ieee",business application,electronic data interchange,enhancement,proprietary,5gl,oracle,168.0,m1,358,405,0.6,0.7,,48.1,,9.8,1,7.0,,agile development,,1,client server,,,,,,,,,0,,,,6.0,,,,,,,,,,,,
29471,b,2013,government,government,business application,electronic data interchange,enhancement,pc,3gl,c#,77.0,s,79,67,2.2,2.7,,56.8,2.2,7.9,,2.0,,agile development;multifunctional teams;scrum,,20,stand alone,,,,,,,,yes,1,,,,,,,,,,,,,0.0,,,no
32725,b,2013,government,education institution,business application,surveillance and security,enhancement,proprietary,5gl,javascript,,m1,1641,1187,12.9,15.4,,38.9,,1.5,,15.0,,agile development,yes,4,multi-tier with web public interface,,,,,,,web,,0,,,,,,,,,,,,,,93891.0,,no
32692,b,2011,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,12.0,xs,221,147,16.0,17.4,22.9,0.4,,8.8,1,2.0,,agile development,,16,stand alone,,,,,,,,,1,,,1.0,,,,,,,,,,,,,
17293,b,2008,education,"education institution;electricity, gas, water;ieee",business application,hospital information system,new development,proprietary,4gl,.net,308.0,s,2032,1032,0.7,0.8,,98.4,15.4,9.6,1,5.0,,agile development,,5,multi-tier with web public interface,yes,,,,,,web,yes,0,,,,,,,,,6.0,,,0.0,,61970.0,,
31103,a,2010,service industry,government,business application,surveillance and security,enhancement,proprietary,3gl,proprietary agile platform,3.0,xs,1198,964,52.9,54.2,,0.4,0.3,12.7,2,8.0,,agile development,,2,multi-tier with web public interface,,web/html browser,data acquisation,,,,,yes,1,,,,,,,,22.0,,,,0.0,2.0,56977.0,,no
29221,a,2009,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,,3gl,proprietary agile platform,,s,2289,1706,8.0,9.0,,12.5,22.5,8.7,1,,,agile development;scrum,,2,stand alone,yes,,,,,,web,yes,0,,,,,,,,,,,,,,72526.0,,
10279,a,2007,education,government,business application,content management system;dynamic website,new development,pc,3gl,c#,144.0,xs,3172,1681,23.7,23.6,,6.2,1.5,,3-4,,,agile development;personal software process psp;unified process,,19,,no,web/html browser,,,,,web,yes,1,,0.0,,,,,,22.0,,,,1.0,2.0,44032.0,,
11738,b,2009,service industry,aerospace / automotive,business application,catalogue/register of things or events;logistic or supply planning & control,enhancement,,3gl,c#,22.0,s,671,554,24.1,24.1,,2.4,0.4,8.8,,17.0,,agile development,,1,multi-tier with web public interface,,,,,,,web,yes,0,,,0.0,,,,,,,,,,,,,
22347,b,2011,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,proprietary agile platform,4.0,xs,9,10,1.4,1.7,,0.2,,11.3,1,2.0,,agile development,,2,stand alone,,,,,,,,yes,0,,,,,,,,,,,48.0,,,,"european, euro",
15148,a,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,oracle,200.0,xs,1465,643,2.1,2.7,,43.6,142.8,2.0,,3.0,yes,agile development,,20,stand alone,yes,data entry & validation;data retrieval & presentation;device/equipment interface,security/authentication,,,,,yes,1,,0.0,0.0,9.0,,,,5.0,,,,0.0,0.0,,"canada, dollar",
17548,b,2012,,aerospace / automotive,business application,security/authentication,enhancement,proprietary,3gl,c#,225.0,s,2407,1189,1.2,1.6,,114.4,,2.8,9-14,,no,agile development,yes,8,multi-tier with web public interface,yes,data entry & validation;data retrieval & presentation;web/html browser,database server,,,,,,0,,,,,,,,1.0,,,,,,,,no
11738,b,2009,banking,government,business application,financial transaction process/accounting;management or performance reporting;data warehouse system,enhancement,pc,3gl,.net,55.0,xxs,19,31,0.5,0.6,,1.0,0.4,17.5,1,2.0,,agile development,,11,multi-tier with web public interface,,,,,,,web,yes,1,,,,5.0,,,,,,,,0.0,,,,
26585,a,2009,service industry,medical and health care,business application,content management system;dynamic website,enhancement,pc,3gl,javascript,384.0,s,1217,512,0.8,0.9,98.9,36.7,,18.5,1,3.0,,agile development,,20,multi-tier with web public interface,yes,,,,,,web,yes,2,,1.0,,5.0,,,,,,,,1.0,0.0,,,
26861,b,2009,education,public sector,business application,content management system;dynamic website,re-development,proprietary,4gl,proprietary agile platform,315.0,m1,27614,17087,104.9,104.9,,127.7,,1.2,2,68.0,,agile development,,1,multi-tier with web public interface,yes,,database server;html/web server;mail server;security/authentication,,,,web,,0,,,,,,,,0.0,3.0,,65.0,,0.0,,"canada, dollar",
25247,b,2012,banking,government,business application,catalogue/register of things or events;logistic or supply planning & control,new development,pc,4gl,c#,253.0,xs,576,329,1.3,1.7,,36.6,47.0,11.6,,3.0,,agile development,yes,19,client server,yes,,,,,,web,yes,0,,0.0,,,,,,,3.0,,,,,,"european, euro",
32692,b,2009,service industry,government,business application,auditing management,enhancement,pc,3gl,c#,59.0,s,411,371,8.5,9.0,,9.9,1.4,14.3,2,2.0,,agile development;iterative,,5,client server,,data entry & validation;data retrieval & presentation;web/html browser,,,,,web,yes,2,,,,,,,,,,,,,0.0,,,no
16563,b,2015,service industry,consumer goods,business application,project management,new development,pc,5gl,c#,356.0,m1,506,279,0.9,1.2,,524.6,357.0,0.7,3-4,,,agile development,,3,multi-tier with web public interface,,,multi-user legacy application,,,,,yes,0,,,,,,,,,,,,,,,"european, euro",no
25081,b,2013,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,4gl,c#,233.0,xxs,482,159,0.7,0.9,18.5,36.0,67.9,10.9,1,3.0,,agile development,,18,stand alone,,web/html browser,,,,,,,0,,,,5.0,,,,,,,,,,,,
15723,b,2014,government,government,business application,surveillance and security,enhancement,proprietary,3gl,oracle,7.0,xs,1281,737,26.8,27.3,,1.9,,3.1,1,5.0,,agile development,,1,client server,,,,,,,,yes,0,,,,,,,,,,,,,,114118.0,,
26195,b,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,77.0,s,397,484,2.1,2.7,,4.0,28.5,17.2,1,2.0,,agile development;scrum,,2,stand alone,,,,,,,,yes,0,,0.0,,,,,,,,,,,,,,
31969,a,2011,electronics & computers,high tech,real-time application,proposal builder,enhancement,proprietary,4gl,proprietary agile platform,202.0,m1,5101,2516,15.8,16.2,21.7,246.9,11.0,1.8,2,7.0,,agile development,,2,multi-tier with web public interface,yes,data entry & validation;data retrieval & presentation;web/html browser,database server,,,,,,0,,,,,,,,,,18.0,,,,,,no
17137,a,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,idm,new development,pc,3gl,c#,90.0,xs,1998,1122,26.5,27.7,,1.1,,9.5,,2.0,yes,agile development,,9,multi-tier with web public interface,,business logic or rule processing;data entry & validation;data retrieval & presentation,database server,,,,,,1,,,,,,,,,,,,,,,,
17548,c,2013,government,government,business application,content management system;dynamic website,new development,pc,3gl,c#,432.0,m2,183,124,0.6,0.6,4.0,52.3,5.7,12.1,3-4,3.0,,agile development,yes,20,multi-tier with web public interface,,business logic or rule processing;data entry & validation;data retrieval & presentation,,,,,,,0,,1.0,,6.0,,,,,4.0,,,0.0,,,,
13384,a,2012,manufacturing,high tech,business application,security/authentication,enhancement,pc,3gl,.net,109.0,m2,2626,1965,13.1,14.9,,81.2,11.8,11.8,,27.0,,agile development,,5,,yes,,,,,,,yes,0,,,2.0,,,,,,,,,0.0,,,,no
26195,a,2013,government,government,business application,surveillance and security,enhancement,pc,3gl,c#,6.0,s,9,10,9.5,10.7,,21.8,0.7,2.3,,3.0,,agile development;iterative,yes,20,stand alone,yes,,,,,,,yes,1,,5.0,,,,,,1.0,,3.0,13.0,,1.0,,,
28393,a,2008,medical & health care,public sector,,analysis management,new development,pc,3gl,c#,425.0,m2,189,231,0.5,0.5,137.5,105.8,66.9,16.0,21-30,2.0,yes,agile development;extreme programming xp;iterative;rapid application development rad;scrum;timeboxing;unified process;imes oom,,18,multi-tier with web public interface,yes,,database server;html/web server,,,,web,yes,1,,0.0,0.0,,,,,,,,,0.0,0.0,,,
14928,b,2012,banking,government,business application,business application,new development,,3gl,c#,176.0,m2,1644,954,3.0,3.9,6.0,97.8,,7.6,1,3.0,,agile development,,20,stand alone,yes,run a computer-human interface;data entry & validation;web public interface,html/web server;security/authentication,,,,web,,0,,0.0,,4.0,,,,1.0,,,,0.0,0.0,,,no
19363,a,2013,education,all industry organization types,business application,idm,enhancement,pc,3gl,c#,270.0,m1,320,316,0.7,0.9,,,102.0,3.4,,,,agile development,,17,stand alone,yes,,,,,,,yes,0,,,,,,,,,2.0,,,1.0,,,"canada, dollar",
31166,b,2009,service industry,government,business application,auditing management,enhancement,,3gl,java,650.0,l,9610,5736,1.9,2.6,,250.4,36.9,3.9,,,yes,agile development,,16,multi-tier with web public interface,,,security/authentication,,,,web,yes,0,,,,,,,,1.0,10.0,2.0,,0.0,0.0,119429.0,"canada, dollar",no
23552,b,2014,banking,government,business application,surveillance and security,enhancement,pc,3gl,c#,18.0,xs,88,78,26.6,26.1,,11.0,9.2,5.8,,2.0,yes,agile development,,3,stand alone,,,,,,,,yes,0,,,,4.0,,,,,5.0,,,0.0,,356285.0,,no
11497,b,2011,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,catalogue/register of things or events,new development,,4gl,c#,36.0,xxs,53,87,0.6,0.7,,1.8,0.6,10.6,,,,agile development,,1,multi-tier with web public interface,,,,,,,,,0,,0.0,,,,,,,,,,,,,,
22347,c,2009,medical & health care,"financial, property & business services",infrastructure software,data or database management,re-development,pc,4gl,c#,956.0,m2,9253,5211,1.5,2.1,,421.3,209.2,5.3,2,,yes,agile development;personal software process psp;unified process,,20,multi-tier with web public interface,no,web public interface,,,,,web,yes,0,,,,,,,,0.0,,2.0,16.0,1.0,,,"european, euro",no
25559,b,2008,government,community services,business application,workflow support & management;complex process control,new development,pc,3gl,oracle,5.0,xxs,139,224,64.4,60.1,112.0,0.9,0.3,12.4,,6.0,,agile development;joint application development jad;multifunctional teams,,1,multi-tier with web public interface,yes,,,,,,,yes,2,,,0.0,6.0,,,,1.0,7.0,,,0.0,,,,
27063,b,2010,electronics & computers,"government;real estate & property;education institution;manufacturing;construction;wholesale & retail trade;transport & storage;communications;medical and health care;community services;defence;financial, property & business services;banking;professional",business application,workflow support & management;complex process control,new development,proprietary,5gl,proprietary agile platform,36.0,s,42,39,7.3,7.9,13.6,7.2,2.0,6.0,,14.0,,agile development,,9,client server,,,,,,,,,0,,,,,,,,,,4.0,,,,,,
31103,a,2011,government,education institution,business application,content management system;dynamic website,new development,pc,4gl,oracle,588.0,m1,1078,383,0.9,1.0,4.9,162.3,45.0,7.2,9-14,,yes,agile development,,20,client server,yes,data entry & validation;data retrieval & presentation;web/html browser,,,,,web,yes,0,,2.0,5.0,7.0,,,,2.0,4.0,4.0,,1.0,,,,
30466,b,2010,banking,aerospace / automotive,business application,business application,new development,proprietary,3gl,c#,33.0,s,98,87,,2.6,71.6,5.5,,17.8,1,2.0,,agile development,,11,multi-tier with web public interface,,,,,,,web,yes,0,,,,,,,,,4.0,,28.0,0.0,,,,
12664,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,proprietary agile platform,3.0,xs,10,12,8.0,9.4,,0.3,1.4,8.3,1,2.0,,agile development;iterative,,11,stand alone,,,,,,,,yes,1,,,,,,,,,,,36.0,0.0,,,"canada, dollar",
14525,c,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,336.0,m1,4760,2186,11.7,13.4,1.9,63.5,41.8,6.1,1,2.0,yes,agile development,,20,stand alone,yes,business logic or rule processing;data entry & validation;data retrieval & presentation,,,,,web,yes,2,,,,,,,,,,,,,0.0,166340.0,"european, euro",
17275,a,2012,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,5.0,xs,13,15,9.8,10.3,,0.2,0.3,12.5,,,,agile development,,19,stand alone,,,security/authentication,,,,,yes,2,,,0.0,,,,,,,,,1.0,,,,
10572,b,2008,service industry,government,business application,web-based application,new development,,3gl,proprietary agile platform,736.0,s,38661,22116,35.5,36.4,0.3,117.0,105.4,4.6,3-4,,no,agile development,,1,multi-tier with web public interface,yes,,,,,,,yes,0,,,0.0,,,,,17.0,,,,0.0,,,"european, euro",
20465,b,2009,government,government,,course management,new development,pc,4gl,abap,365.0,s,1998,1147,0.7,0.8,,78.4,62.3,8.8,,5.0,,agile development,,1,multi-tier with web public interface,,,,,,,web,yes,0,,,,,,,,,,,,,,,,
23265,b,2010,education,government,business application,surveillance and security,enhancement,,3gl,oracle,43.0,m1,3217,2406,20.2,22.2,1.1,15.4,0.3,4.4,2,,,agile development,yes,13,stand alone,yes,web/html browser,data acquisation,,,,web,yes,0,,6.0,3.0,5.0,,,,0.0,,1.0,,,0.0,,,
19161,a,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,oracle,74.0,m1,279,397,1.6,2.2,1.0,11.1,,5.7,,3.0,,agile development;extreme programming xp;iterative;rapid application development rad;scrum;timeboxing;unified process;imes oom,,12,stand alone,,web/html browser,,,,,web,yes,1,,1.0,,,,,,,,,11.0,0.0,0.0,,"canada, dollar",
14621,b,2012,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,proprietary,4gl,c#,3.0,xs,168,273,94.7,94.8,,0.2,,6.4,,8.0,,agile development,,1,stand alone,yes,,,,,,,,0,,,,,,,,22.0,8.0,,,,,65358.0,,
29310,b,2012,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,3.0,xs,9,9,18.3,18.3,6.6,0.2,,11.8,1,,,agile development,,16,stand alone,,web/html browser,,,,,,yes,2,,,,3.0,,,,,,4.0,,1.0,1.0,,,no
27500,a,2013,government,transport & storage,business application,electronic data interchange,enhancement,pc,3gl,proprietary agile platform,229.0,m1,193,111,1.3,1.7,,125.9,55.0,7.4,1,10.0,,agile development,,20,client server,no,web public interface,,,,,,yes,0,,,,,,,,,,,12.0,0.0,1.0,42890.0,"canada, dollar",
25247,a,2012,education,transport & storage,business application,mathematical modelling finance or eng.;software development tool,enhancement,,3gl,java,43.0,s,12,11,0.8,0.9,,42.9,49.9,4.5,,2.0,,agile development,yes,17,client server,,,,,,,web,yes,0,,,,,,,,,6.0,,,,,208712.0,,
23552,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,.net,362.0,m2,5794,3259,11.2,13.4,,152.4,97.0,3.2,1,3.0,no,agile development;scrum,,19,stand alone,yes,,,,,,,yes,0,,,1.0,,,,,0.0,,,,,,,"european, euro",
14928,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,enhancement,pc,3gl,c#,42.0,xs,5202,2563,80.1,80.1,,30.9,118.1,0.9,,4.0,,agile development,,1,,,,,,,,,yes,0,,,,,,,,,,,13.0,,,,,
27500,b,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,multi,3gl,c#,5.0,xs,16,21,10.2,10.3,,0.3,0.3,12.8,1,2.0,,agile development,,1,,,,,,,,,yes,0,,,,,,,,,7.0,,,,,,,
27970,a,2011,education,government,business application,financial transaction process/accounting;management or performance reporting;data warehouse system,new development,multi,3gl,c#,160.0,xs,3459,2025,25.6,26.9,,,17.9,11.5,3-4,8.0,,agile development,,3,multi-tier with web public interface,no,web/html browser,,,,,web,,0,,3.0,,4.0,,,,,,,,,0.0,,,no
31166,a,2015,banking,government,business application,auditing management,enhancement,pc,4gl,c#,17.0,xs,109,64,38.4,40.1,,37.6,150.4,0.7,9-14,,yes,agile development,,17,client server,yes,,,,,,,,0,,,,3.0,,,,,,,,,,,"european, euro",no
14535,b,2012,government,aerospace / automotive,real-time application,surveillance and security,enhancement,proprietary,3gl,oracle,77.0,m2,874,787,1.7,2.4,5.6,20.1,12.8,10.1,5-8,4.0,,agile development,,4,stand alone,,web public interface,,,,,,yes,0,,,1.0,2.0,,,,1.0,,,,,,,,
13384,b,2009,education,consumer goods,business application,customer relationship management,new development,multi,5gl,c#,1368.0,m2,9992,5379,0.6,0.7,,312.4,,10.2,2,,,agile development,,4,multi-tier with web public interface,,run a computer-human interface;business logic or rule processing;database server,,,,,,,0,,,4.0,,,,,,6.0,,,0.0,,108158.0,,
17275,b,2010,manufacturing,high tech,business application,business application,new development,multi,3gl,java,31.0,m1,9947,7127,43.3,44.5,0.0,87.8,19.7,1.3,,28.0,,agile development,,1,multi-tier with web public interface,,,,,,,,yes,0,,,,,,,,,,,,,,,"european, euro",no
32010,b,2008,wholesale & retail,information technology,business application,content management system;dynamic website,new development,,5gl,proprietary agile platform,179.0,m2,3870,2742,1.6,1.9,18.2,143.8,63.9,4.1,,18.0,,agile development,,1,multi-tier with web public interface,,,,,,,web,,0,,,,,,,,,,,,,,89805.0,,
30367,b,2010,service industry,government,business application,surveillance and security,enhancement,multi,3gl,proprietary agile platform,4.0,xs,71,97,21.1,21.6,7.8,0.6,0.3,16.1,,,,agile development,,3,stand alone,,,,,,,,yes,1,,,,7.0,,,,,,,18.0,0.0,0.0,,,
13384,a,2012,government,community services,business application,business application,enhancement,multi,4gl,proprietary agile platform,62.0,m1,1311,897,9.7,10.9,,11.4,11.2,10.0,5-8,18.0,,agile development,,9,,,,,,,,,yes,0,,0.0,,,,,,,,,,1.0,0.0,,,
27281,b,2010,banking,government,business application,content management system;dynamic website,enhancement,pc,3gl,.net,1025.0,m2,37136,23064,8.0,9.5,,206.9,,12.7,5-8,5.0,,agile development,,1,,,,,,,,,yes,0,,,0.0,,,,,0.0,,,,0.0,,,,
14535,a,2011,education,government,business application,project management,enhancement,proprietary,3gl,proprietary agile platform,727.0,m1,8236,4285,0.9,1.2,0.0,422.1,325.5,1.7,5-8,,yes,agile development,yes,16,multi-tier with web public interface,yes,,,,,,,,0,,,1.0,,,,,,,,4.0,1.0,,,,no
22347,b,2013,government,aerospace / automotive,business application,workflow support & management;complex process control,new development,multi,4gl,.net,6.0,xs,275,352,92.3,91.7,0.0,0.9,,3.4,,,no,agile development,,1,multi-tier with web public interface,yes,,,,,,,,0,,,,,,,,,,,,,,,,
19161,b,2007,government,community services,business application,airport management,new development,pc,4gl,c#,636.0,m2,6936,4329,0.6,0.6,170.5,45.3,6.9,17.9,5-8,3.0,yes,agile development,,4,stand alone,yes,web/html browser,database server;file &/or print server;html/web server;multi-user legacy application,,,,,yes,1,,0.0,0.0,,,,,0.0,9.0,1.0,,1.0,0.0,,,
28393,a,2013,government,"education institution;electricity, gas, water;ieee",business application,business application,enhancement,pc,3gl,oracle,73.0,s,597,493,17.8,19.9,,23.4,40.7,3.5,1,,yes,agile development,,18,,,,,,,,web,,0,,,,,,,,,5.0,0.0,,,,216930.0,,no
32692,a,2008,medical & health care,banking,business application,catalogue/register of things or events;logistic or supply planning & control,enhancement,proprietary,3gl,proprietary agile platform,234.0,m1,9094,5865,11.3,13.3,6.1,167.5,,1.3,61-70,,yes,agile development;personal software process psp;unified process,,4,multi-tier with web public interface,,web/html browser,database server;ftp server;html/web server;messaging server;object/component server;security/authentication;business logic + integration to 30 other systems,,,,,,0,,6.0,0.0,,,,,,,1.0,,,12.0,,,
30029,b,2007,banking,government,real-time application,catalogue/register of things or events,enhancement,proprietary,3gl,c#,221.0,xxs,11992,7459,17.4,18.2,135.6,2.2,0.6,18.5,5-8,5.0,,agile development,,1,multi-tier with web public interface,,,security/authentication,,,,,yes,0,,,,,,,,,,,,0.0,0.0,,,
14621,b,2010,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,mathematically-intensive application,content management system;dynamic website,new development,pc,4gl,oracle,1411.0,m2,17018,9940,0.6,0.7,38.2,377.6,208.7,3.8,,10.0,yes,agile development,,4,,yes,web/html browser,,,,,,yes,0,,0.0,,,,,,,,18.0,,1.0,,,"european, euro",
32296,b,2009,government,government,business application,catalogue/register of things or events,enhancement,pc,3gl,oracle,42.0,m2,44,118,0.7,0.8,,16.4,2.8,17.3,,,,agile development;personal software process psp;unified process,,1,multi-tier with web public interface,,,,,,,web,yes,0,,,,,,,,5.0,12.0,4.0,,,,,"european, euro",
30658,a,2008,service industry,"education institution;electricity, gas, water;ieee",,idm,new development,,3gl,oracle,353.0,s,1221,832,2.6,3.3,,50.2,,12.3,,,,agile development,,20,multi-tier with web public interface,no,,security/authentication,,,,web,,1,,0.0,0.0,,,,,,,1.0,,0.0,3.0,,,
23552,a,2012,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,oracle,8.0,xs,252,216,15.9,16.1,,2.3,1.7,2.9,1,,,agile development,,1,stand alone,yes,,,,,,,,0,,,,,,,,,6.0,,29.0,0.0,,,,
30621,a,2010,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,new development,pc,3gl,c#,15.0,xs,63,77,3.7,4.7,44.2,0.2,,18.1,5-8,,,agile development,yes,18,stand alone,yes,,,,,,,yes,4,,0.0,,,,,,0.0,,,29.0,0.0,1.0,63803.0,,
27500,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,82.0,s,192,154,10.1,11.8,,3.4,,9.2,1,3.0,no,agile development,,20,stand alone,,,,,,,,,0,,,5.0,5.0,,,,,,,,,,72088.0,"european, euro",
18328,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,enhancement,,4gl,c#,27.0,s,10,11,3.4,4.1,7.2,16.1,29.1,6.0,1,2.0,,agile development;personal software process psp;unified process,,8,stand alone,,,,,,,,,0,,,,,,,,,,,,,,74626.0,"canada, dollar",
26585,a,2012,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,,3gl,c#,76.0,xs,3110,1581,27.9,28.9,,2.5,17.9,16.7,,2.0,,agile development,,4,stand alone,yes,,,,,,,,0,,,,,,,,,,4.0,,0.0,0.0,,,
