project_prf_year_of_project,project_prf_application_type,project_prf_functional_size,project_prf_team_size_group,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_joint_application_development_jad,process_pmf_development_methodologies_multifunctional_teams,external_eef_industry_sector_medical_and_health_care,external_eef_organisation_type_biotech,external_eef_organisation_type_medical_and_health_care,external_eef_organisation_type_occupational_health_and_safety,project_prf_development_type_enhancement,project_prf_development_type_new_development,project_prf_relative_size_l,project_prf_relative_size_m1,project_prf_relative_size_m2,project_prf_relative_size_missing,project_prf_relative_size_s,project_prf_relative_size_xs,project_prf_relative_size_xxs,project_prf_cost_currency_european_euro,project_prf_cost_currency_missing,project_prf_cost_currency_united_states_dollar,project_prf_currency_multiple_missing,project_prf_currency_multiple_no
2013,not recorded,8,81-90,82,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,161,101+,131,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,26,31-40,38,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,27,61-70,64,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,16,31-40,35,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,17,Sep-14,9,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,48,71-80,80,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,8,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,8,31-40,35,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,10,31-40,34,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,4,Sep-14,13,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,20,05-Aug,8,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,67,61-70,62,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,30,101+,101,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,102,81-90,89,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,44,31-40,31,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,162,101+,253,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,70,21-30,26,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,164,101+,146,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2011,not recorded,27,21-30,30,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,13,21-30,29,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,29,15-20,15,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,234,41-50,42,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,7,21-30,22,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,3,31-40,40,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,24,31-40,40,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,14,31-40,32,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,70,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,25,Sep-14,14,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,21,41-50,47,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,6,05-Aug,6,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,13,41-50,49,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,8,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2010,not recorded,68,91-100,93,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,4,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,17,21-30,28,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,114,91-100,91,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,83,51-60,57,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,79,15-20,16,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,85,101+,138,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,51,Sep-14,14,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,7,Sep-14,11,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,4,51-60,56,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,42,Sep-14,14,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,106,101+,118,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,251,101+,188,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,6,31-40,37,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,179,61-70,63,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,102,21-30,22,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2005,missing,216,Missing,36,3,0,1,0,0,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
2012,not recorded,87,21-30,30,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,24,91-100,100,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,38,41-50,50,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,136,101+,112,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,17,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,10,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,5,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,7,Sep-14,11,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,17,05-Aug,8,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,108,101+,131,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,18,Sep-14,13,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,42,101+,101,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,204,101+,176,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
