isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_speed_of_delivery,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,_case_tool_used,process_pmf_development_methodologies,process_pmf_docs,tech_tf_architecture,tech_tf_dbms_used,tech_tf_tools_used
18663,b,1998,Missing,Missing,Missing,Missing,enhancement,Missing,Missing,Missing,92.0,s,315.0,315,3.4,3.4,46.0,2.0,2,2.0,yes,Missing,4,Missing,Missing,2.0
18669,b,2004,manufacturing,manufacturing,Missing,Missing,enhancement,multi,3GL,c++,125.0,m1,300.0,300,2.4,2.4,20.8,6.0,Missing,,Missing,Missing,3,Missing,Missing,0.0
18674,b,2004,Missing,Missing,Missing,Missing,enhancement,Missing,Missing,Missing,3.0,xxs,45.0,45,15.0,15.0,4.3,0.69,Missing,,Missing,Missing,2,yes,Missing,0.0
18680,a,2001,communication,communications,business application,order processing system,new development,pc,4GL,sql,1077.0,l,2694.0,2694,2.5,2.5,134.6,8.0,Missing,,Missing,rapid application development rad,5,yes,yes,2.0
18687,b,2011,manufacturing,manufacturing,mathematically-intensive application,car design,enhancement,Missing,3GL,java,832.0,m2,,1692,,2.0,69.9,11.9,Missing,,yes,Missing,8,yes,yes,4.0
18688,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,136.0,m1,29119.0,29119,214.1,214.1,7.2,19.0,101+,126.0,Missing,Missing,2,Missing,Missing,0.0
18696,b,1999,electronics & computers,client/server architecture for language services; engineering; research & development; software development,business application,linguistic software; management information system,new development,pc,Missing,Missing,172.0,m1,,385,,2.2,90.5,1.9,Missing,,Missing,Missing,2,Missing,yes,0.0
18703,b,2004,banking,banking,business application,financial transaction process/accounting,new development,mf,3GL,java,58.0,s,1489.0,1489,25.7,25.7,,,Missing,,Missing,Missing,3,Missing,Missing,0.0
18705,b,2005,communication,communications,mathematically-intensive application,relatively complex application,enhancement,multi,4GL,Missing,227.0,m1,1009.0,1009,4.4,4.4,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,yes,yes,0.0
18708,b,2004,Missing,Missing,Missing,Missing,enhancement,Missing,3GL,c++,146.0,m1,2446.0,2446,16.8,16.8,17.2,8.5,Missing,,Missing,Missing,2,yes,Missing,0.0
18713,b,1999,manufacturing,manufacturing,Missing,Missing,enhancement,mf,3GL,javascript,375.0,m2,,2794,,7.5,75.0,5.0,9-14,9.0,Missing,Missing,2,Missing,yes,4.0
18723,a,1996,banking,banking,business application,transaction/production system,re-development,mf,Missing,Missing,244.0,m1,,1661,,6.8,24.4,10.0,Missing,,yes,rapid application development rad,5,no,Missing,1.0
18724,b,1999,manufacturing,manufacturing,Missing,Missing,new development,pc,Missing,Missing,239.0,m1,634.0,5233,2.7,21.9,26.6,9.0,5-8,7.0,yes,Missing,2,Missing,yes,6.0
18733,b,2013,insurance,insurance,business application,unknown,enhancement,Missing,Missing,Missing,50.0,s,185.0,185,3.7,3.7,19.2,2.6,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18737,b,2004,Missing,Missing,business application,financial application area,enhancement,multi,3GL,java,145.0,m1,711.0,711,4.9,4.9,48.3,3.0,Missing,,Missing,Missing,2,Missing,yes,0.0
18740,b,2013,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,12.0,xs,2540.0,2540,211.7,211.7,0.7,17.0,41-50,44.0,Missing,Missing,2,Missing,Missing,0.0
18746,a,2004,government,government; municipal services,business application,catalogue/register of things or events; electronic data interchange; workflow support & management,enhancement,multi,3GL,c#,337.0,m2,11680.0,11680,34.7,34.7,30.6,11.0,9-14,9.0,yes,Missing,15,yes,yes,8.0
18748,b,2014,insurance,insurance,business application,unknown,enhancement,Missing,Missing,Missing,73.0,s,137.0,137,1.9,1.9,60.8,1.2,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18751,b,2010,manufacturing,manufacturing,business application,parts reporting is,enhancement,multi,4GL,sql,81.0,s,,589,,7.3,14.5,5.6,Missing,,Missing,Missing,8,yes,yes,2.0
18753,b,2002,insurance,insurance,Missing,Missing,new development,mf,3GL,pl/i,298.0,m1,1845.0,1845,6.2,6.2,59.6,5.0,Missing,,Missing,waterfall incl linear processing & ssadm,4,Missing,Missing,2.0
18758,b,1998,communication,telecommunication,business application,executive information system,enhancement,Missing,4GL,natural,,m1,671.0,808,,,,4.0,Missing,,no,Missing,2,no,Missing,1.0
18759,b,2004,government,public administration,Missing,Missing,new development,multi,3GL,visual basic,1548.0,l,30638.0,30638,19.8,19.8,48.4,32.0,Missing,,Missing,Missing,3,Missing,Missing,0.0
18760,b,2006,insurance,insurance,Missing,Missing,enhancement,mf,3GL,cobol,105.0,m1,2042.0,2042,19.4,19.4,23.3,4.5,Missing,,Missing,waterfall incl linear processing & ssadm,4,Missing,Missing,2.0
18761,b,2002,insurance,insurance,Missing,Missing,new development,mf,3GL,pl/i,314.0,m2,1178.0,1178,3.8,3.8,78.5,4.0,Missing,,Missing,waterfall incl linear processing & ssadm,4,Missing,Missing,2.0
18763,b,2000,electronics & computers,electronics,business application,office information system,new development,pc,3GL,c++,,m2,4765.0,4765,,,,,Missing,,no,timeboxing,4,no,yes,4.0
18767,b,2004,financial,"financial, property & business services",business application,client server; financial transaction process/accounting,enhancement,multi,4GL,Missing,,s,749.0,749,,,,7.5,Missing,,Missing,Missing,3,yes,Missing,0.0
18770,b,2002,banking,banking,business application,financial transaction process/accounting,enhancement,multi,4GL,visual basic,44.0,s,234.0,234,5.3,5.3,17.6,2.5,Missing,,no,waterfall incl linear processing & ssadm,3,yes,yes,0.0
18775,b,2004,Missing,Missing,Missing,Missing,enhancement,Missing,4GL,oracle,25.0,xs,384.0,384,15.4,15.4,13.9,1.8,Missing,,Missing,Missing,2,yes,Missing,0.0
18777,b,2010,manufacturing,manufacturing,business application,customer management,enhancement,mr,3GL,cobol,167.0,m1,,1120,,6.7,20.9,8.0,Missing,,Missing,Missing,8,no,yes,2.0
18779,b,2015,insurance,insurance,business application,unknown,enhancement,Missing,3GL,pl/sql,77.0,s,811.0,811,10.5,10.5,13.1,5.9,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18782,b,2000,service industry,transport & storage,business application,office information system,new development,mf,3GL,c,,m2,1841.0,1841,,,,,Missing,,don't know,Missing,4,no,yes,0.0
18785,b,2001,electronics & computers,computers & software; manufacturing,business application,transaction/production system,enhancement,mf,3GL,pl/i,,xl,5430.0,5430,,,,7.0,Missing,,don't know,Missing,2,Missing,yes,2.0
18792,b,1998,Missing,Missing,Missing,Missing,new development,Missing,Missing,Missing,790.0,m2,2909.0,2909,3.7,3.7,158.0,5.0,3-4,4.0,yes,Missing,4,Missing,Missing,2.0
18796,a,1994,government,public administration,business application,management information system,new development,mf,4GL,sql,1975.0,Missing,9503.0,9503,4.8,4.8,131.7,15.0,Missing,,yes,multifunctional teams,5,Missing,yes,3.0
18801,b,2000,insurance,insurance,Missing,Missing,new development,mf,3GL,pl/i,120.0,m1,678.0,678,5.7,5.7,40.0,3.0,Missing,,Missing,Missing,4,Missing,Missing,2.0
18803,b,2013,insurance,insurance,business application,unknown,enhancement,Missing,Missing,Missing,139.0,m1,593.0,593,4.3,4.3,66.2,2.1,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18805,b,2002,insurance,insurance,business application,financial transaction process/accounting,enhancement,mf,3GL,cobol,132.0,m1,4451.0,4451,33.7,33.7,33.0,4.0,Missing,,no,waterfall incl linear processing & ssadm,3,don't know,yes,0.0
18808,b,2014,communication,telecommunications,business application,customer relationship management,enhancement,multi,4GL,visual basic,91.0,s,1574.0,1574,17.3,17.3,30.3,3.0,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18814,b,2010,manufacturing,manufacturing,business application,monitoring of the factoring process,enhancement,mr,3GL,c++,123.0,m1,,2113,,17.2,18.6,6.6,Missing,,yes,Missing,8,yes,yes,4.0
18820,b,2014,government,government,business application,business application,enhancement,Missing,4GL,oracle,49.0,s,601.0,601,12.3,12.3,122.5,0.4,Missing,,Missing,agile development,3,Missing,Missing,0.0
18826,b,2006,Missing,Missing,business application,financial transaction process/accounting,new development,multi,4GL,.net,,m2,7478.0,7478,,,,7.4,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
18827,b,2001,insurance,insurance,Missing,Missing,enhancement,multi,APG,cool:gen,56.0,s,602.0,602,10.8,10.8,11.2,5.0,Missing,,yes,waterfall incl linear processing & ssadm,5,Missing,Missing,3.0
18831,b,2010,manufacturing,manufacturing,business application,diagnostic tools,enhancement,mr,Missing,Missing,86.0,s,,167,,1.9,20.0,4.3,Missing,,Missing,Missing,8,no,yes,2.0
18836,a,1993,service industry,transport & storage,business application,management information system,new development,mr,4GL,oracle,1960.0,l,5364.0,6068,2.7,3.1,196.0,10.0,9-14,11.0,yes,Missing,4,Missing,yes,4.0
18839,b,2013,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,193.0,m1,15258.0,15258,79.1,79.1,14.8,13.0,101+,111.0,Missing,Missing,2,Missing,Missing,0.0
18842,b,2011,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,75.0,s,82307.0,82307,1097.4,1097.4,5.0,15.0,101+,205.0,Missing,Missing,2,Missing,Missing,0.0
18848,b,2002,wholesale & retail,ordering,business application,stock control & order processing,enhancement,Missing,3GL,cobol,70.0,s,1480.0,1480,21.1,21.1,,,Missing,,Missing,Missing,2,Missing,Missing,0.0
18853,b,1998,manufacturing,manufacturing,business application,"job, case, incident, project management",new development,pc,Missing,Missing,1272.0,l,10448.0,10448,8.2,8.2,127.2,10.0,Missing,,no,waterfall incl linear processing & ssadm,3,don't know,yes,0.0
18863,b,2004,banking,banking,business application,web-based application,new development,pc,3GL,java,280.0,m1,2104.0,2164,7.5,7.7,37.8,7.4,15-20,15.0,Missing,Missing,2,Missing,Missing,0.0
18864,a,1999,communication,communications,real-time application,telecom & network management,enhancement,Missing,3GL,c,571.0,m2,8996.0,8996,15.8,15.8,71.4,8.0,15-20,18.0,Missing,Missing,4,Missing,Missing,0.0
18865,b,2004,government,public administration,Missing,Missing,new development,multi,3GL,java,107.0,m1,1255.0,1255,11.7,11.7,2.5,42.0,Missing,,Missing,Missing,3,Missing,Missing,0.0
18868,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,32.0,s,2610.0,2610,81.6,81.6,4.6,7.0,21-30,23.0,Missing,Missing,2,Missing,Missing,0.0
18873,b,1995,banking,banking,business application,transaction/production system,enhancement,mr,Missing,Missing,42.0,s,242.0,242,5.8,5.8,21.0,2.0,3-4,4.0,yes,joint application development jad,6,yes,Missing,6.0
18878,a,2006,service industry,community services,business application,online analysis and reporting,enhancement,multi,3GL,Missing,119.0,m1,1877.0,1877,15.8,15.8,9.2,13.0,5-8,5.0,Missing,Missing,14,yes,yes,2.0
18879,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,286.0,m1,13489.0,13489,47.2,47.2,11.4,25.0,101+,136.0,Missing,Missing,2,Missing,Missing,0.0
18880,a,1991,government,public administration,business application,management information system,new development,mr,4GL,oracle,1140.0,Missing,6600.0,6600,5.8,5.8,63.3,18.0,Missing,,no,multifunctional teams,5,Missing,yes,0.0
18882,b,2000,communication,communications,business application,transaction/production system,enhancement,pc,4GL,access,275.0,m1,890.0,1391,3.2,5.1,91.7,3.0,Missing,,Missing,Missing,4,no,Missing,0.0
18888,b,2002,Missing,Missing,business application,transaction/production system,new development,mf,2GL,assembler,282.0,m1,9946.0,9946,35.3,35.3,15.1,18.7,21-30,30.0,no,Missing,2,don't know,yes,1.0
18889,b,2004,financial,"financial, property & business services",business application,data warehouse; financial transaction process/accounting,enhancement,Missing,4GL,Missing,,s,316.0,316,,,,7.4,Missing,,Missing,Missing,3,Missing,Missing,0.0
18890,b,2014,insurance,insurance,business application,unknown,enhancement,Missing,Missing,Missing,87.0,s,112.0,112,1.3,1.3,41.4,2.1,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18891,b,1995,Missing,Missing,Missing,Missing,new development,Missing,4GL,sql,322.0,m2,7850.0,7850,24.4,24.4,16.1,20.0,3-4,4.0,don't know,Missing,4,Missing,Missing,0.0
18892,b,2002,Missing,Missing,business application,transaction/production system,enhancement,mf,3GL,cobol,127.0,m1,2715.0,2715,21.4,21.4,14.0,9.1,3-4,3.0,no,Missing,2,no,yes,0.0
18894,b,2006,Missing,Missing,business application,financial transaction process/accounting,enhancement,multi,3GL,java,,m1,2336.0,2336,,,,11.4,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
18899,b,2011,manufacturing,manufacturing,business application,parts management,enhancement,mf,3GL,cobol,87.0,s,,1753,,20.1,4.6,18.8,Missing,,Missing,Missing,8,no,yes,2.0
18901,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,27.0,xs,413.0,413,15.3,15.3,3.9,7.0,21-30,24.0,Missing,Missing,2,Missing,Missing,0.0
18902,b,2015,insurance,insurance,business application,electronic data interchange,enhancement,pc,3GL,java,193.0,m1,4105.0,4105,21.3,21.3,101.6,1.9,9-14,14.0,Missing,Missing,2,Missing,Missing,0.0
18905,b,2015,communication,telecommunications,business application,customer relationship management,enhancement,multi,3GL,java,60.0,s,609.0,609,10.2,10.2,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18906,b,2009,manufacturing,manufacturing,business application,cars selling,enhancement,mf,3GL,pl/i,137.0,m1,,1583,,11.6,45.7,3.0,Missing,,yes,Missing,8,no,yes,4.0
18913,b,2012,insurance,insurance,business application,unknown,enhancement,Missing,Missing,Missing,132.0,m1,1288.0,1288,9.8,9.8,16.7,7.9,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18920,b,2015,communication,telecommunications,business application,customer relationship management,enhancement,multi,4GL,siebel,57.0,s,311.0,311,5.5,5.5,15.4,3.7,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18922,b,2000,manufacturing,manufacturing,business application,sales contact management,new development,multi,4GL,visual basic,351.0,m2,1118.0,1118,3.2,3.2,63.8,5.5,Missing,,no,waterfall incl linear processing & ssadm,3,yes,yes,0.0
18929,b,2004,insurance,insurance,Missing,Missing,enhancement,multi,4GL,focus,72.0,s,314.0,314,4.4,4.4,34.3,2.1,Missing,,yes,waterfall incl linear processing & ssadm,7,Missing,Missing,3.0
18931,b,2006,Missing,Missing,business application,financial transaction process/accounting,enhancement,multi,3GL,java,,s,410.0,410,,,,3.0,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
18935,b,2015,communication,telecommunications,business application,customer relationship management,enhancement,multi,4GL,siebel,51.0,s,956.0,956,18.7,18.7,12.4,4.1,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18937,b,2015,insurance,insurance,business application,workflow support & management,enhancement,pc,3GL,cobol,40.0,s,152.0,152,3.8,3.8,7.3,5.5,1,1.0,Missing,Missing,2,Missing,Missing,0.0
18938,b,1999,electronics & computers,internet,business application,ecommerce,new development,pc,4GL,delphi,334.0,m2,4686.0,4686,14.0,14.0,20.6,16.2,2,2.0,Missing,rapid application development rad,2,Missing,Missing,0.0
18940,b,2002,communication,voice provisioning,Missing,voice provisioning,enhancement,Missing,3GL,java,122.0,m1,7991.0,7991,65.5,65.5,,,Missing,,Missing,Missing,2,Missing,Missing,0.0
18943,b,2011,manufacturing,manufacturing,business application,parts selling,enhancement,mf,3GL,java,117.0,m1,,1987,,17.0,22.9,5.1,Missing,,yes,Missing,8,no,yes,4.0
18944,b,2004,manufacturing,manufacturing,Missing,Missing,new development,pc,3GL,visual basic,,Missing,2770.0,2770,,,,5.2,5-8,5.0,yes,waterfall incl linear processing & ssadm,2,yes,Missing,2.0
18945,b,2001,financial,"financial, property & business services",business application,financial transaction process/accounting,enhancement,mf,3GL,"shell, c",88.0,s,1196.0,1196,13.6,13.6,,,Missing,,Missing,Missing,2,Missing,yes,0.0
18948,b,2006,electronics & computers,computers & software,real-time application,data protection,enhancement,pc,3GL,c,37.0,s,2182.0,2182,59.0,59.0,4.1,9.0,3-4,3.0,Missing,Missing,11,no,Missing,2.0
18953,b,1999,banking,banking,Missing,Missing,new development,mr,3GL,c++,81.0,s,900.0,900,11.1,11.1,13.5,6.0,Missing,,Missing,Missing,3,Missing,Missing,0.0
18956,b,2001,professional services,computers & software; professional services,real-time application,complex process control,new development,pc,3GL,java,931.0,m2,7680.0,9456,8.2,10.2,232.8,4.0,15-20,19.0,no,Missing,3,yes,yes,3.0
18958,b,2006,Missing,Missing,business application,financial transaction process/accounting,new development,multi,3GL,java,,m1,3003.0,3003,,,,7.5,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
18961,b,2014,communication,telecommunications,business application,stock control & order processing,enhancement,multi,3GL,java,56.0,s,849.0,849,15.2,15.2,17.5,3.2,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18964,b,2006,communication,communications,real-time application,embedded system/real-time application,enhancement,multi,3GL,Missing,,s,867.0,867,,,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,yes,yes,0.0
18965,b,1995,government,government,business application,management information system,new development,mf,3GL,cobol,119.0,m1,,5176,,43.5,7.9,15.0,Missing,,no,Missing,5,Missing,yes,2.0
18967,b,2003,insurance,insurance,Missing,Missing,enhancement,multi,3GL,visual basic,437.0,m2,1972.0,1972,4.5,4.5,23.0,19.0,Missing,,Missing,Missing,4,Missing,Missing,2.0
18968,b,2012,communication,telecommunications,mathematically-intensive application,customer relationship management,enhancement,multi,3GL,pl/sql,94.0,s,2376.0,2376,25.3,25.3,16.8,5.6,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18971,b,2010,manufacturing,manufacturing,business application,virtual synthesis for acoustic,enhancement,multi,4GL,matlab,122.0,m1,,1029,,8.4,11.5,10.6,Missing,,Missing,Missing,8,no,Missing,2.0
18979,a,1995,insurance,insurance,Missing,Missing,enhancement,mf,Missing,Missing,50.0,s,260.0,260,5.2,5.2,16.7,3.0,Missing,,don't know,Missing,4,no,Missing,0.0
18982,b,2015,communication,telecommunications,business application,customer relationship management,enhancement,multi,4GL,siebel,60.0,s,818.0,818,13.6,13.6,15.4,3.9,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18986,a,1995,insurance,insurance,business application,management information system,new development,mf,3GL,cobol,323.0,m2,6263.0,6519,19.4,20.2,23.1,14.0,Missing,,no,Missing,5,no,yes,5.0
18988,b,2003,financial,"financial, property & business services",business application,data warehouse; financial transaction process/accounting,enhancement,Missing,4GL,Missing,,m2,909.0,909,,,,4.9,Missing,,Missing,Missing,3,Missing,Missing,0.0
18990,b,2000,insurance,insurance,Missing,Missing,new development,mf,3GL,pl/i,165.0,m1,1147.0,1147,7.0,7.0,41.3,4.0,Missing,,Missing,Missing,4,Missing,Missing,2.0
18991,b,2003,insurance,insurance,Missing,Missing,enhancement,multi,3GL,java,950.0,m2,9137.0,9137,9.6,9.6,67.9,14.0,Missing,,Missing,Missing,7,Missing,Missing,2.0
18994,b,2006,Missing,Missing,business application,financial transaction process/accounting,enhancement,multi,3GL,java,,m1,1139.0,1139,,,,5.9,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
18995,b,2013,insurance,insurance,business application,unknown,enhancement,Missing,3GL,pl/sql,122.0,m1,1190.0,1190,9.8,9.8,50.8,2.4,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
18997,b,1999,Missing,Missing,Missing,Missing,new development,Missing,Missing,Missing,1279.0,l,3569.0,3569,2.8,2.8,85.3,15.0,5-8,8.0,yes,Missing,4,Missing,Missing,2.0
18999,b,2000,communication,communications,business application,transaction/production system,enhancement,pc,3GL,unix shell,36.0,s,117.0,183,3.3,5.1,18.0,2.0,Missing,,Missing,Missing,4,no,Missing,0.0
19000,b,2004,government,public administration,Missing,Missing,new development,pc,3GL,c++,1798.0,l,21994.0,21994,12.2,12.2,110.3,16.3,Missing,,Missing,Missing,7,Missing,Missing,1.0
19002,b,1999,manufacturing,manufacturing,Missing,Missing,new development,pc,3GL,c++,358.0,m2,3064.0,3064,8.6,8.6,44.8,8.0,Missing,,Missing,Missing,4,Missing,Missing,2.0
19003,b,2002,construction,engineering,business application,customisation add-ons to a product data management system,enhancement,multi,3GL,c++,98.0,s,490.0,490,5.0,5.0,8.9,11.0,Missing,,Missing,Missing,2,yes,yes,0.0
19004,b,2005,banking,banking,business application,financial transaction process/accounting,new development,mf,3GL,cobol,99.0,s,1604.0,1604,16.2,16.2,,,Missing,,Missing,Missing,3,Missing,Missing,0.0
19005,b,2015,communication,telecommunications,business application,management or performance reporting,enhancement,Missing,Missing,Missing,225.0,m1,2502.0,2502,11.1,11.1,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
19006,b,2000,Missing,Missing,business application,transaction/production system,new development,mf,3GL,cobol,141.0,m1,1600.0,1600,11.3,11.3,9.6,14.7,1,1.0,no,Missing,2,no,yes,1.0
19009,b,1989,manufacturing,manufacturing; oil,Missing,Missing,new development,mf,4GL,abap,975.0,m2,3504.0,3504,3.6,3.6,81.3,12.0,3-4,4.0,Missing,Missing,2,Missing,yes,0.0
19013,b,1996,Missing,Missing,Missing,Missing,new development,mf,3GL,c++,,l,,53714,,,,15.0,Missing,,Missing,Missing,3,yes,Missing,0.0
19015,b,2006,manufacturing,manufacturing,real-time application,embedded system/real-time application,enhancement,Missing,4GL,Missing,,m2,7758.0,7758,,,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
19018,b,2007,manufacturing,aerospace / automotive; defence,business application,financial transaction process/accounting,new development,Missing,3GL,java,128.0,m1,1400.0,1400,10.9,10.9,25.6,5.0,5-8,8.0,Missing,Missing,2,Missing,yes,0.0
19031,a,2011,communication,telecommunications,business application,catalogue/register of things or events; workflow support & management,new development,pc,3GL,j2ee,99.0,s,1391.0,1673,14.1,16.9,24.8,4.0,9-14,10.0,Missing,multifunctional teams,14,yes,yes,4.0
19032,a,1995,medical & health care,medical and health care; professional services,business application,management information system,new development,pc,4GL,access,322.0,m2,665.0,665,2.1,2.1,24.8,13.0,3-4,4.0,no,joint application development jad; rapid application development rad,6,no,yes,0.0
19037,b,1997,medical & health care,medical and health care,business application,management information system,new development,pc,4GL,access,103.0,m1,30.0,48,0.3,0.5,103.0,1.0,1,1.0,no,timeboxing,5,no,yes,2.0
19039,b,2002,construction,engineering,business application,customisation add-ons to a product data management system,enhancement,multi,3GL,c++,74.0,s,620.0,620,8.4,8.4,6.7,11.0,Missing,,Missing,Missing,2,yes,yes,0.0
19040,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,14.0,xs,1898.0,1898,135.6,135.6,2.3,6.0,31-40,32.0,Missing,Missing,2,Missing,Missing,0.0
19044,b,2006,Missing,Missing,business application,financial transaction process/accounting,enhancement,multi,3GL,java,,s,175.0,175,,,,1.2,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
19052,b,2011,banking,banking,business application,business application,new development,Missing,4GL,visual basic,160.0,m1,989.0,989,6.2,6.2,32.7,4.9,Missing,,Missing,Missing,2,Missing,Missing,0.0
19059,a,1995,communication,communications,real-time application,telecom & network management,new development,pc,4GL,access,267.0,m1,544.0,544,2.0,2.0,44.5,6.0,2,2.0,no,joint application development jad,6,no,yes,2.0
19062,b,2005,communication,communications,mathematically-intensive application,relatively complex application,enhancement,multi,4GL,Missing,150.0,m1,2595.0,2595,17.3,17.3,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,yes,yes,0.0
19065,b,2003,insurance,insurance,Missing,Missing,new development,mf,3GL,pl/i,108.0,m1,321.0,321,3.0,3.0,12.0,9.0,Missing,,Missing,waterfall incl linear processing & ssadm,4,Missing,Missing,2.0
19074,a,2008,government,government,business application,logistic tracking,new development,multi,3GL,java,210.0,m1,2932.0,2932,14.0,14.0,42.0,5.0,Missing,,Missing,Missing,3,yes,Missing,0.0
19079,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,63.0,s,3141.0,3141,49.9,49.9,2.5,25.0,61-70,62.0,Missing,Missing,2,Missing,Missing,0.0
19082,b,2004,Missing,Missing,business application,financial application area,enhancement,multi,4GL,Missing,133.0,m1,1277.0,1277,9.6,9.6,30.9,4.3,Missing,,Missing,Missing,2,yes,yes,0.0
19084,a,2007,government,government,business application,management of licences and permits,enhancement,multi,3GL,java,46.0,s,666.0,666,14.5,14.5,8.1,5.7,Missing,,Missing,Missing,8,Missing,Missing,0.0
19085,b,2004,insurance,insurance,Missing,Missing,new development,multi,4GL,Missing,517.0,m2,5435.0,5435,10.5,10.5,37.2,13.9,Missing,,Missing,Missing,3,Missing,Missing,0.0
19086,b,2010,manufacturing,manufacturing,business application,rules documentation management,enhancement,mf,3GL,pl/i,82.0,s,,1640,,20.0,11.5,7.1,Missing,,Missing,Missing,8,no,yes,2.0
19088,b,2004,banking,banking,business application,financial transaction process/accounting,enhancement,mf,3GL,cobol,180.0,m1,5387.0,5387,29.9,29.9,,,Missing,,Missing,Missing,3,Missing,Missing,0.0
19090,b,2009,manufacturing,manufacturing,business application,parts selling,enhancement,mf,3GL,cobol,47.0,s,,838,,17.8,9.4,5.0,Missing,,Missing,Missing,8,no,yes,2.0
19091,a,2008,government,government,business application,management of licences and permits,enhancement,mf,APG,cool:gen,179.0,m1,5259.0,5259,29.4,29.4,13.3,13.5,Missing,,Missing,Missing,8,Missing,Missing,0.0
19092,b,2005,banking,banking,business application,financial transaction process/accounting,enhancement,pc,4GL,.net,66.0,s,1993.0,1993,30.2,30.2,33.0,2.0,Missing,,Missing,Missing,3,Missing,Missing,0.0
19094,b,2011,manufacturing,manufacturing,business application,management of parts buying,enhancement,mr,3GL,java,178.0,m1,,3177,,17.8,23.4,7.6,Missing,,yes,Missing,8,yes,yes,4.0
19097,b,2009,manufacturing,manufacturing,business application,parts management,enhancement,multi,3GL,java,222.0,m1,,3726,,16.8,38.9,5.7,Missing,,yes,Missing,8,yes,yes,4.0
19107,b,2005,communication,communications,mathematically-intensive application,relatively complex application,enhancement,multi,4GL,Missing,89.0,s,1712.0,1712,19.2,19.2,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,yes,yes,0.0
19114,a,2004,government,government; professional services,mathematically-intensive application,tax system,enhancement,multi,3GL,c#,392.0,m2,15729.0,15729,40.1,40.1,14.0,28.0,9-14,12.0,yes,Missing,15,yes,yes,6.0
19122,b,2014,communication,telecommunications,business application,integration,enhancement,multi,3GL,tibco,52.0,s,820.0,820,15.8,15.8,4.6,11.2,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
19123,b,2001,government,public administration,Missing,Missing,new development,Missing,3GL,java,1128.0,l,11800.0,11800,10.5,10.5,102.5,11.0,Missing,,Missing,Missing,3,Missing,Missing,0.0
19125,b,2007,government,defence; government,business application,financial transaction process/accounting,enhancement,mf,3GL,cobol,34.0,s,409.0,409,12.0,12.0,1.6,21.6,Missing,,Missing,Missing,2,no,Missing,0.0
